查询ip：localhost查询结果：Array查询ip：localhost查询结果：记录时间：2017-02-06 14:02:28 查询ip：
记录时间：2017-02-06 14:02:34 查询ip：localhost
记录时间：2017-02-06 14:02:35 查询结果：Array
记录时间：2017-02-06 14:03:31 查询ip：localhost
记录时间：2017-02-06 14:03:32 查询结果：Array
记录时间：2017-02-06 14:03:32 查询ip：localhost
记录时间：2017-02-06 14:03:32 查询结果：
记录时间：2017-02-06 14:11:12 查询ip：localhost
记录时间：2017-02-06 14:11:13 查询结果：Array
记录时间：2017-02-06 14:11:13 查询ip：localhost
记录时间：2017-02-06 14:11:13 查询结果：
记录时间：2017-02-06 14:11:17 查询ip：localhost
记录时间：2017-02-06 14:11:18 查询结果：Array
记录时间：2017-02-06 14:11:18 查询ip：localhost
记录时间：2017-02-06 14:11:18 查询结果：
记录时间：2017-02-06 14:12:31 查询ip：localhost
记录时间：2017-02-06 14:12:32 查询结果：Array
记录时间：2017-02-06 14:12:32 查询ip：localhost
记录时间：2017-02-06 14:12:32 查询结果：
记录时间：2017-02-06 14:13:13 查询ip：localhost
记录时间：2017-02-06 14:13:14 查询结果：Array
记录时间：2017-02-06 14:13:14 查询ip：localhost
记录时间：2017-02-06 14:13:14 查询结果：
记录时间：2017-02-06 14:16:03 查询ip：localhost
记录时间：2017-02-06 14:16:04 查询结果：Array
记录时间：2017-02-06 14:16:04 查询ip：localhost
记录时间：2017-02-06 14:16:04 查询结果：
记录时间：2017-02-06 14:19:10 查询ip：localhost
记录时间：2017-02-06 14:19:11 查询结果：Array
记录时间：2017-02-06 14:19:11 查询ip：localhost
记录时间：2017-02-06 14:19:11 查询结果：
记录时间：2017-02-06 14:21:10 查询ip：localhost
记录时间：2017-02-06 14:21:11 查询结果：Array
记录时间：2017-02-06 14:21:11 查询ip：localhost
记录时间：2017-02-06 14:21:11 查询结果：
2017-02-06 14:28:38: 查询ip：localhost
2017-02-06 14:28:39: 查询结果：Array
2017-02-06 14:28:39: 查询ip：localhost
2017-02-06 14:28:39: 查询结果：
2017-02-06 14:28:39: 查询ip：localhost
2017-02-06 14:28:39: 查询结果：
2017-02-06 14:35:43: 查询ip：localhost
2017-02-06 14:35:44: 查询结果：Array
2017-02-06 14:35:44: 查询ip：localhost
2017-02-06 14:35:44: 查询结果：
2017-02-06 14:35:44: 查询ip：localhost
2017-02-06 14:35:44: 查询结果：
2017-02-06 14:40:12: 查询ip：localhost
2017-02-06 14:40:13: 查询结果：Array
2017-02-06 14:40:13: 查询ip：localhost
2017-02-06 14:40:13: 查询结果：
2017-02-06 14:40:13: 查询ip：localhost
2017-02-06 14:40:13: 查询结果：
2017-02-06 14:45:11: 查询ip：localhost
2017-02-06 14:45:12: 查询结果：Array
2017-02-06 14:45:12: 查询ip：localhost
2017-02-06 14:45:12: 查询结果：
2017-02-06 14:45:12: 查询ip：localhost
2017-02-06 14:45:12: 查询结果：
2017-02-06 14:46:31: 查询ip：localhost
2017-02-06 14:46:32: 查询结果：Array
2017-02-06 14:46:32: 查询ip：localhost
2017-02-06 14:46:32: 查询结果：
2017-02-06 14:46:32: 查询ip：localhost
2017-02-06 14:46:32: 查询结果：
2017-02-06 14:47:37: 查询ip：localhost
2017-02-06 14:47:38: 查询结果：Array
2017-02-06 14:47:38: 查询ip：localhost
2017-02-06 14:47:38: 查询结果：Array
2017-02-06 14:47:38: 查询ip：localhost
2017-02-06 14:47:38: 查询结果：Array
2017-02-06 14:48:49: 查询ip：localhost
2017-02-06 14:48:50: 查询结果：Array
2017-02-06 14:48:50: 查询ip：localhost
2017-02-06 14:48:50: 查询结果：
2017-02-06 14:48:50: 查询ip：localhost
2017-02-06 14:48:50: 查询结果：
2017-02-06 14:49:01: 查询ip：localhost
2017-02-06 14:49:02: 查询结果：Array
2017-02-06 14:49:02: 查询ip：localhost
2017-02-06 14:49:02: 查询结果：Array
2017-02-06 14:49:02: 查询ip：localhost
2017-02-06 14:49:02: 查询结果：Array
2017-02-06 14:57:57: 查询ip：localhost
2017-02-06 14:57:58: 查询结果：Array
2017-02-06 14:57:58: 查询ip：localhost
2017-02-06 14:57:58: 查询结果：Array
2017-02-06 14:57:58: 查询ip：localhost
2017-02-06 14:57:58: 查询结果：Array
2017-02-06 15:01:43: 查询ip：localhost
2017-02-06 15:01:44: 查询结果：Array
2017-02-06 15:01:44: 查询ip：localhost
2017-02-06 15:01:44: 查询结果：Array
2017-02-06 15:01:44: 查询ip：localhost
2017-02-06 15:01:44: 查询结果：Array
